job_id,tag,matrix,perm,perm_type,algo,block_size,n_cols,time_loading_ms,time_transfer_ms,time_operation_ms,time_preprocessing_ms,time_write_ms
212133,ASPT_SPMM_SYMMETRIC,lns_3937.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,21.887463,13.164137,0.057568,,
212134,ASPT_SPMM_SYMMETRIC,lns_3937.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,17.724564,13.768061,0.057888,,
212141,ASPT_SPMM_SYMMETRIC,lnsp3937.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,17.120507,13.356367,0.059616,,
212142,ASPT_SPMM_SYMMETRIC,lnsp3937.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,17.945006,13.847439,0.058912,,
212143,ASPT_SPMM_SYMMETRIC,lnsp3937.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,16.097846,13.453358,0.0568,,
212150,ASPT_SPMM_SYMMETRIC,lshp1561.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,14.921686,8.258892,0.062368,,
212151,ASPT_SPMM_SYMMETRIC,lshp1561.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,13.633718,7.99698,0.058272,,
212152,ASPT_SPMM_SYMMETRIC,lshp1561.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,14.819785,7.406551,0.05888,,
212159,ASPT_SPMM_SYMMETRIC,lshp1882.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,16.969793,8.584323,0.064288,,
212160,ASPT_SPMM_SYMMETRIC,lshp1882.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.485957,8.110944,0.061632,,
212161,ASPT_SPMM_SYMMETRIC,lshp1882.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,14.160848,8.367717,0.057184,,
212168,ASPT_SPMM_SYMMETRIC,lshp2614.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,33.652037,9.360601,0.058976,,
212169,ASPT_SPMM_SYMMETRIC,lshp2614.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.557921,10.316597,0.05792,,
212170,ASPT_SPMM_SYMMETRIC,lshp2614.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,15.117765,10.24889,0.0568,,
212177,ASPT_SPMM_SYMMETRIC,lshp3025.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,25.013722,9.983863,0.060288,,
212178,ASPT_SPMM_SYMMETRIC,lshp3025.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,16.779927,12.031468,0.055904,,
212179,ASPT_SPMM_SYMMETRIC,lshp3025.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,20.106465,11.808018,0.05728,,
212186,ASPT_SPMM_SYMMETRIC,lshp3466.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,27.403611,12.019766,0.056448,,
212187,ASPT_SPMM_SYMMETRIC,lshp3466.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,14.470609,12.077405,0.058176,,
212188,ASPT_SPMM_SYMMETRIC,lshp3466.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,16.459425,12.081292,0.05904,,
212195,ASPT_SPMM_SYMMETRIC,mbeacxc.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,106.576537,20.309486,0.114688,,
212196,ASPT_SPMM_SYMMETRIC,mbeacxc.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,20.086768,20.124008,0.114688,,
212197,ASPT_SPMM_SYMMETRIC,mbeacxc.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,20.288937,19.707616,0.115712,,
212204,ASPT_SPMM_SYMMETRIC,mbeaflw.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,104.530355,21.29084,0.114688,,
212205,ASPT_SPMM_SYMMETRIC,mbeaflw.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,20.674111,21.855009,0.130048,,
212206,ASPT_SPMM_SYMMETRIC,mbeaflw.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,18.704271,20.688698,0.114688,,
212213,ASPT_SPMM_SYMMETRIC,mbeause.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,31.042807,17.711828,0.114688,,
212214,ASPT_SPMM_SYMMETRIC,mbeause.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,18.891984,17.91502,0.130048,,
212215,ASPT_SPMM_SYMMETRIC,mbeause.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,19.332301,17.804,0.115712,,
212222,ASPT_SPMM_SYMMETRIC,mcfe.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,34.149331,12.033141,0.070656,,
212223,ASPT_SPMM_SYMMETRIC,mcfe.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,17.714152,13.388558,0.073728,,
212224,ASPT_SPMM_SYMMETRIC,mcfe.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,15.916065,12.660449,0.063488,,
212231,ASPT_SPMM_SYMMETRIC,nos3.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,26.311851,9.230307,0.056704,,
212232,ASPT_SPMM_SYMMETRIC,nos3.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,17.556265,9.94581,0.0632,,
212233,ASPT_SPMM_SYMMETRIC,nos3.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,16.789886,10.434499,0.061152,,
212240,ASPT_SPMM_SYMMETRIC,orani678.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,55.344732,32.406959,0.10752,,
212241,ASPT_SPMM_SYMMETRIC,orani678.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,23.013676,33.457984,0.10752,,
212242,ASPT_SPMM_SYMMETRIC,orani678.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,23.465555,33.353187,0.104448,,
212249,ASPT_SPMM_SYMMETRIC,orsreg_1.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,46.131007,9.270242,0.064192,,
212250,ASPT_SPMM_SYMMETRIC,orsreg_1.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,15.383033,9.732992,0.059488,,
212251,ASPT_SPMM_SYMMETRIC,orsreg_1.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,14.270534,9.601664,0.056032,,
212258,ASPT_SPMM_SYMMETRIC,plat1919.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,25.02851,16.145155,0.064128,,
212259,ASPT_SPMM_SYMMETRIC,plat1919.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,256,16.194588,15.150367,0.063872,,
212260,ASPT_SPMM_SYMMETRIC,plat1919.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,1024,16.660693,15.180063,0.056736,,
212267,ASPT_SPMM_SYMMETRIC,psmigr_1.mtx,None,SYMMETRIC,ASPT_SPMM_SYMMETRIC,,32,82.90079,163.32568,0.154624,,
