job_id,matrix,perm,perm_type,rows,cols,nnz,density,bandwidth_lower,bandwidth_upper,bandwidth_max,bandwidth_avg,locality_profile,locality_avg_row_spread,locality_max_row_spread,locality_max_nnz_per_row,locality_avg_nnz_per_row,locality_num_empty_rows,locality_consecutive_vertical_pairs,locality_total_vertical_pairs,locality_vertical_adjacency_ratio,locality_avg_col_spread,locality_max_col_spread,locality_num_empty_cols,access_dist_reuse_distance_mean,access_dist_reuse_distance_median,access_dist_reuse_distance_max,access_dist_reuse_distance_std,access_dist_reuse_distance_count,access_dist_reuse_distance_cold_misses,access_dist_index_distance_mean,access_dist_index_distance_median,access_dist_index_distance_max,access_dist_index_distance_std,block_density_4,nonzero_blocks_4,total_blocks_4,max_blocks_per_row_4,avg_blocks_per_row_4,block_density_8,nonzero_blocks_8,total_blocks_8,max_blocks_per_row_8,avg_blocks_per_row_8,block_density_16,nonzero_blocks_16,total_blocks_16,max_blocks_per_row_16,avg_blocks_per_row_16,block_density_32,nonzero_blocks_32,total_blocks_32,max_blocks_per_row_32,avg_blocks_per_row_32,block_density_64,nonzero_blocks_64,total_blocks_64,max_blocks_per_row_64,avg_blocks_per_row_64,block_density_128,nonzero_blocks_128,total_blocks_128,max_blocks_per_row_128,avg_blocks_per_row_128
1228828,ex10.mtx,None,ROW,2410,2410,54840,0.009441986191697801,113,113,113,47.130051057622175,340160,141.14522821576764,225,50,22.755186721991702,0,22068,52430,0.4209040625596033,141.14522821576764,225,0,55.11256913980545,39.0,260,51.58472799252216,52430,2410,12.361841025547513,2.0,225,32.61464453827892,0.36685218880445253,9343,363609,23,15.494195688225538,0.2421919163369135,3538,91204,18,11.71523178807947,0.15378230437903806,1393,22801,13,9.225165562913908,0.1062593005952381,504,5776,9,6.631578947368421,0.08367919921875,160,1444,5,4.2105263157894735,0.060857599431818184,55,361,3,2.8947368421052633
1228829,Spielman_k100.mtx,None,ROW,338402,338402,1025404,8.954248957449553e-06,29113,29113,29113,147.54730428201958,76978649,227.47693276044467,56959,201,3.0301357556988435,0,666657,687002,0.9703858212930967,227.47693276044467,56959,0,114.38381693211956,1.0,29116,1276.7404062393105,687002,338402,149.81319247164285,1.0,47743,1464.0654160654337,0.2360254337474082,271529,7157329201,206,5.3484281437125745,0.10981225540256198,145903,1789374601,203,3.4491619583461386,0.04831181626843889,82909,447364801,202,3.919861945061699,0.01966634773066499,50918,111851776,202,4.8144856278366115,0.0075783366663891745,33034,27962944,201,6.2469742813918305,0.0034214789721941285,18292,6990736,156,6.918305597579425
1228830,DK01R.mtx,None,ROW,903,903,11766,0.014429568474225819,18,17,18,6.704317525072242,24987,27.67109634551495,28,17,13.029900332225914,0,6519,10863,0.6001104667219,27.692137320044296,32,0,19.603884746386818,16.0,33,7.123433472261715,10863,903,4.171185720356991,1.0,27,6.803809037671219,0.36495037220843674,2015,51076,9,8.915929203539823,0.32887969588550986,559,12769,5,4.946902654867257,0.2719582100591716,169,3249,3,2.9649122807017543,0.13517922794117648,85,841,3,2.9310344827586206,0.06680368822674419,43,225,3,2.8666666666666667,0.03264271129261364,22,64,3,2.75
1228831,mono_500Hz.mtx,None,ROW,169410,169410,5036288,0.00017548195832422654,155176,155176,155176,39005.08139526572,18851565558,111277.7613954312,169351,719,29.72839855970722,0,1657561,4866878,0.34057993646029344,111277.7613954312,169351,0,15305.057908170289,65.0,169409,34992.63421757401,4866878,169410,7486.261546849892,5.0,169409,25007.013641846406,0.14551217124104268,2163173,1793776609,220,51.07484711826789,0.05444181778055434,1445433,448465329,304,68.25485196203428,0.0194981213496153,1008969,112126921,447,95.28463499858344,0.007147237525303975,688133,28037025,571,129.9590179414542,0.0029285338306466978,419856,7011904,659,158.55589123867068,0.0014147212122606774,217280,1752976,694,164.10876132930514
1228832,Freescale1.mtx,None,ROW,3428755,3428755,18920347,1.6093710665541341e-06,3425041,3425041,3425041,791790.3765538232,6520031531528,1901574.0499184106,3427368,27,5.51813909130282,0,6580452,15491592,0.4247757105919133,2045486.4076153005,3427368,0,1155350.4667617118,49113.0,3428754,1357951.338081598,15491592,3428755,689208.3092547039,100468.0,3428428,897736.9398913704,0.1737238928628776,6806903,734772981721,1448,1358.1211093375898,0.07430403607723104,3978659,183693674025,570,396.9925164637797,0.03223720893264818,2292618,45923632804,384,114.39067957289691,0.014336515648034993,1288800,11480908201,380,32.152479792435884,0.006446111298909525,716591,2870280625,495,13.375223980886965,0.002844820045301118,405933,717596944,582,15.153538898014036
1228833,a0nsdsil.mtx,None,ROW,80016,80016,355034,5.545187953011277e-05,75014,75014,75014,39019.2971715385,4301678684,53760.23150369926,60012,5003,4.437037592481504,0,39985,275018,0.145390483531987,53760.23150369926,60012,0,43058.5107229345,53769.0,80015,27385.68402030084,275018,80016,24232.44419814496,20004.0,80015,19894.253250475937,0.23667418618541747,93756,400160016,2505,4.686862627474505,0.08787970297029703,63125,100040004,1256,6.31123775244951,0.03792942682693359,36564,25010001,633,7.311337732453509,0.018966788327407003,18280,6255001,320,7.309076369452219,0.009481319476728287,9142,1565001,164,7.30775379696243,0.004737550429397136,4574,391876,86,7.306709265175719
1228834,apache1.mtx,None,ROW,80800,80800,542184,8.304700519556907e-05,808,808,808,265.0548005843035,129410086,1601.6099752475247,1616,7,6.710198019801981,0,160000,461384,0.346782723284726,1601.6099752475247,1616,0,952.2617559343194,500.0,2422,1011.7775788818221,461384,80800,477.21778993439483,100.0,1615,557.9134966608985,0.1984033583924682,170796,408040000,9,8.455247524752476,0.09908565112634214,85498,102010000,9,8.465148514851485,0.040075428587647594,52848,25502500,11,10.464950495049505,0.019962921332428458,26523,6375625,11,10.504158415841584,0.011965031241525807,11063,1595169,9,8.759303246239114,0.0075518679042104065,4382,399424,7,6.9335443037974684
1228835,big.mtx,None,ROW,13209,13209,91465,0.00052422177711085,12916,12916,12916,2666.2377740119173,91468955,6924.744870921341,13015,12,6.924445453857219,0,27550,78256,0.35204968309139234,6924.744870921341,13015,0,2622.043153240646,75.5,13194,3734.804847891093,78256,13209,1999.9642263622845,269.0,13072,3027.4015945866595,0.1391195760628848,41091,10909809,26,12.440508628519527,0.05109182843557843,27972,2729104,46,16.93220338983051,0.018564125337732516,19246,682276,67,23.300242130750604,0.00680025040445375,13135,170569,99,31.803874092009686,0.0027142727927099795,8227,42849,112,39.743961352657,0.0012710793639358492,4392,10816,86,42.23076923076923
1228836,garon1.mtx,None,ROW,3175,3175,88927,0.008821576043152085,3171,3171,3171,1078.8254410921318,9034097,2845.3848818897636,3171,45,28.008503937007873,0,38363,85752,0.44737148987778713,2845.3848818897636,3171,0,598.876935814908,43.0,3174,1076.4469992654674,85752,3175,203.1466612689202,2.0,3174,560.0941057705717,0.22150237127371275,25092,630436,55,31.602015113350127,0.11019782496629392,12609,157609,60,31.760705289672543,0.05699279634946677,6095,39601,99,30.628140703517587,0.03621466782214345,2398,10000,80,23.98,0.02294999298031184,946,2500,50,18.92,0.013468172059165633,403,625,25,16.12
1228837,wb-cs-stanford.mtx,None,ROW,9914,9914,36854,0.0003749616074883091,8860,9639,9639,319.44337114017475,3575024,506.87990925847157,9677,277,3.717369376639096,2861,13662,26940,0.5071269487750557,365.73543136190995,9745,699,164.6591772495387,12.0,8159,533.2473906878939,27639,9215,229.83504735028356,2.0,9677,750.6248587461178,0.16920406963931536,13613,6145441,105,6.361214953271028,0.06807468376876699,8459,1537600,89,7.572963294538944,0.027208644396144396,5291,384400,89,9.233856893542757,0.010632270125553914,3385,96100,59,11.592465753424657,0.004272345011277303,2106,24025,43,14.134228187919463,0.0019923734707152346,1129,6084,35,14.662337662337663
