job_id,matrix,perm,perm_type,rows,cols,nnz,density,bandwidth_lower,bandwidth_upper,bandwidth_max,bandwidth_avg,locality_profile,locality_avg_row_spread,locality_max_row_spread,locality_max_nnz_per_row,locality_avg_nnz_per_row,locality_num_empty_rows,locality_consecutive_vertical_pairs,locality_total_vertical_pairs,locality_vertical_adjacency_ratio,locality_avg_col_spread,locality_max_col_spread,locality_num_empty_cols,access_dist_reuse_distance_mean,access_dist_reuse_distance_median,access_dist_reuse_distance_max,access_dist_reuse_distance_std,access_dist_reuse_distance_count,access_dist_reuse_distance_cold_misses,access_dist_index_distance_mean,access_dist_index_distance_median,access_dist_index_distance_max,access_dist_index_distance_std,block_density_4,nonzero_blocks_4,total_blocks_4,max_blocks_per_row_4,avg_blocks_per_row_4,block_density_8,nonzero_blocks_8,total_blocks_8,max_blocks_per_row_8,avg_blocks_per_row_8,block_density_16,nonzero_blocks_16,total_blocks_16,max_blocks_per_row_16,avg_blocks_per_row_16,block_density_32,nonzero_blocks_32,total_blocks_32,max_blocks_per_row_32,avg_blocks_per_row_32,block_density_64,nonzero_blocks_64,total_blocks_64,max_blocks_per_row_64,avg_blocks_per_row_64,block_density_128,nonzero_blocks_128,total_blocks_128,max_blocks_per_row_128,avg_blocks_per_row_128
1238252,atmosmodd.mtx,SB_rcm,ROW,1270432,1270432,8814880,5.461520344538144e-06,1269997,1269020,1269997,423307.31012413104,1206805851509,949917.7063463451,1269993,7,6.938490214352283,0,2512692,7544448,0.33305180180180183,11102.13477620211,15545,0,5658.788596992119,265.0,23313,8502.07937957622,7544448,1270432,273811.578768126,150788.0,1270199,315414.2772446841,0.07965340150950086,6916591,100874841664,22,21.77713092869197,0.02096212792251474,6570540,25218710416,42,41.375154278229765,0.005429509663429335,6341848,6304677604,82,79.87012921588877,0.0014112061401855033,6099946,1576169401,162,153.6471625399864,0.00038397175696309674,5604762,394062201,310,282.341544506574,0.00011451524346571402,4698218,98525476,499,473.3244005641749
1238253,atmosmodd.mtx,SB_metis,ROW,1270432,1270432,8814880,5.461520344538144e-06,1268406,1269868,1269868,423555.74052647344,1206805851509,949917.7063463451,1269993,7,6.938490214352283,0,4899,7544448,0.0006493516821906652,32087.93368712375,1050442,0,9825.869409663901,5458.0,1067407,45090.09723387485,7544448,1270432,273810.95812897716,150766.0,1270427,315601.26602363464,0.06263304818980565,8796155,100874841664,28,27.695004533890835,0.01571058867384415,8766858,25218710416,56,55.205523790332734,0.003954671722551723,8706949,6304677604,112,109.6565451751845,0.0010027602088207865,8584586,1576169401,224,216.23097654970908,0.0002583352794875525,8330532,394062201,439,419.6530149614629,6.908612294218682e-05,7787636,98525476,825,784.5694136610921
1238254,atmosmodd.mtx,SB_amd,ROW,1270432,1270432,8814880,5.461520344538144e-06,1269536,1270095,1270095,421709.0366800229,1206805851509,949917.7063463451,1269993,7,6.938490214352283,0,1196611,7544448,0.15860815794608168,103082.99106288255,1270410,0,19728.588260135137,73.0,1270431,107104.26658888109,7544448,1270432,273812.3327903877,150783.0,1270233,315457.87843920576,0.07304574490935078,7542260,100874841664,28,23.74707186216972,0.020178022806480116,6825867,25218710416,56,42.982966424019544,0.005630041417843764,6115963,6304677604,112,77.02530162968188,0.0015793808820062326,5450415,1576169401,224,137.2865922772726,0.00044526848636627063,4833197,394062201,442,243.47372928315954,0.00012736142455609012,4224337,98525476,838,425.5830143058634
1238255,atmosmodd.mtx,SB_rabbit,ROW,1270432,1270432,8814880,5.461520344538144e-06,1270246,1269454,1270246,423745.1667455484,1206805851509,949917.7063463451,1269993,7,6.938490214352283,0,1833161,7544448,0.24298146133421558,104389.2004593713,1267598,0,21216.784411530174,47.0,1264300,108361.23821619329,7544448,1270432,273814.764214574,150751.0,1269863,315671.94501414115,0.07859944528277069,7009337,100874841664,28,22.069144983753556,0.022027412779953612,6252777,25218710416,56,39.37417823228634,0.00611841949784471,5627781,6304677604,109,70.877068587693,0.0016864677628348973,5104326,1576169401,211,128.56920480592427,0.0004625939478910962,4652180,394062201,401,234.35494433529797,0.00012762965506840418,4215459,98525476,741,424.6885956074955
1238256,atmosmodd.mtx,SB_patoh,ROW,1270432,1270432,8814880,5.461520344538144e-06,1269392,1269818,1269818,423330.4730564682,1206805851509,949917.7063463451,1269993,7,6.938490214352283,0,4748,7544448,0.0006293369640827268,41946.12429157956,1079028,0,12075.955074910717,5829.0,1097572,51910.81689912952,7544448,1270432,273810.9573163738,150764.0,1270430,315612.58665127336,0.06262793608592508,8796873,100874841664,28,27.697265182237224,0.01570815366453636,8768217,25218710416,56,55.21408150928188,0.003953776248515746,8708921,6304677604,112,109.68138082164177,0.0010023822393638061,8587823,1576169401,224,216.31251101987357,0.0002581263746999319,8337274,394062201,439,419.9926452067906,6.899724983446973e-05,7797667,98525476,820,785.5799919403587
1238259,rma10.mtx,GROOT_reorder,ROW,46835,46835,2374001,0.0010822805369125833,46816,46709,46816,16132.554285360453,2076374208,44333.814625814026,46796,145,50.688608946300846,0,1888900,2327166,0.811673941609666,15530.931354756058,46808,0,524.938174156893,69.0,46834,3329.6587791808056,2327166,46835,1749.2431672283067,544.0,46822,6152.766398602058,0.1689001460480513,878478,137100681,207,75.02587753010505,0.06542052649447536,567005,34281025,271,96.84116140051238,0.024079230493843508,385122,8573184,391,131.53073770491804,0.008521754486504418,272052,2143296,446,185.827868852459,0.003153734038658525,183779,535824,506,251.06420765027323,0.0014614855359139861,99144,133956,353,270.88524590163934
1238260,rma10.mtx,SB_degree,ROW,46835,46835,2374001,0.0010822805369125833,46813,46705,46813,16129.14684029198,2076374208,44333.814625814026,46796,145,50.688608946300846,0,51955,2327166,0.02232543789312838,22176.258759474753,45532,0,5997.451248858053,4051.0,45719,6249.693820171038,2327166,46835,1749.2431145745577,544.0,46832,6153.555338844814,0.06497515837072368,2283566,137100681,505,195.02656076522334,0.017226329610861006,2153318,34281025,903,367.7742100768574,0.005039932981402646,1839993,8573184,1374,628.4129098360655,0.0019063064857485037,1216153,2143296,1337,830.7056010928961,0.0011766343700262188,492583,535824,732,672.9275956284152,0.001086872708246994,133316,133956,366,364.25136612021856
1238261,rma10.mtx,SB_gray,ROW,46835,46835,2374001,0.0010822805369125833,46735,46813,46813,14991.22292155732,2076374208,44333.814625814026,46796,145,50.688608946300846,0,1751340,2327166,0.7525634183380129,27885.690423828335,46144,0,2608.62244807633,88.0,46224,7100.313188391592,2327166,46835,1749.2473626790227,544.0,46828,6153.123499974093,0.14430157338491717,1028229,137100681,271,87.81527030489367,0.04591295572554043,807915,34281025,305,137.98719043552518,0.013792375224953893,672360,8573184,400,229.63114754098362,0.0042965937487837785,539581,2143296,540,368.5662568306011,0.0016990797604673575,341120,535824,567,466.0109289617486,0.0011424636476882752,126829,133956,365,346.5273224043716
1238262,rma10.mtx,SB_rcm,ROW,46835,46835,2374001,0.0010822805369125833,46412,46762,46762,14520.244258532326,2076374208,44333.814625814026,46796,145,50.688608946300846,0,2008485,2327166,0.8630604778516014,515.7735881285364,1281,0,92.24787144535456,67.0,1667,144.51823280862436,2327166,46835,1749.2448319292334,544.0,46819,6153.005644148269,0.18327706354137457,809567,137100681,212,69.14057562558716,0.07442524548407614,498403,34281025,236,85.12433817250214,0.028693466401342863,323190,8573184,290,110.37909836065573,0.010458516869800876,221672,2143296,276,151.4153005464481,0.0038068314475574712,152250,535824,326,207.99180327868854,0.001636908708555861,88519,133956,305,241.8551912568306
1238263,rma10.mtx,SB_metis,ROW,46835,46835,2374001,0.0010822805369125833,46832,46610,46832,15758.647753307601,2076374208,44333.814625814026,46796,145,50.688608946300846,0,325367,2327166,0.13981254452840924,1350.559325290915,18222,0,276.3438826452432,239.0,18444,436.8121938256289,2327166,46835,1749.2425332771693,544.0,46834,6152.6172680959235,0.07687747406762624,1930020,137100681,400,164.8321803740712,0.02439371471852419,1520628,34281025,542,259.7144321093083,0.00895296120688823,1035796,8573184,672,353.7554644808743,0.003878491189535557,597748,2143296,723,408.2978142076503,0.0020332855800913696,285051,535824,602,389.4139344262295,0.0013231200413895852,109512,133956,364,299.21311475409834
